GeoFips,GeoName,POSTAL ABBREVIATION,Description,2014,2015,2016,2017,2018,2019,2020,2021
29000,Missouri,MO,Per capita personal income (dollars) 2/,"$41,955.00 ","$43,316.25 ","$44,400.00 ","$45,374.50 ","$47,224.50 ","$48,913.75 ","$51,655.75 ","$55,149.00 "
30000,Montana,MT,Per capita personal income (dollars) 2/,"$42,481.50 ","$43,925.50 ","$44,049.25 ","$46,114.25 ","$47,799.25 ","$49,825.25 ","$53,020.50 ","$56,665.25 "
31000,Nebraska,NE,Per capita personal income (dollars) 2/,"$48,953.50 ","$50,541.75 ","$49,366.75 ","$50,202.50 ","$52,021.25 ","$53,413.25 ","$56,861.50 ","$62,085.50 "
32000,Nevada,NV,Per capita personal income (dollars) 2/,"$41,746.50 ","$44,480.75 ","$45,436.50 ","$47,519.25 ","$49,723.50 ","$51,795.25 ","$54,154.25 ","$58,223.00 "
33000,New Hampshire,NH,Per capita personal income (dollars) 2/,"$57,056.50 ","$59,163.75 ","$60,512.25 ","$62,393.50 ","$64,751.75 ","$66,850.50 ","$70,301.00 ","$74,789.75 "
34000,New Jersey,NJ,Per capita personal income (dollars) 2/,"$37,203.75 ","$38,088.50 ","$38,771.75 ","$39,426.75 ","$41,123.50 ","$42,890.50 ","$46,097.00 ","$49,306.25 "
35000,New Mexico,NM,Per capita personal income (dollars) 2/,"$55,285.00 ","$57,479.50 ","$59,277.75 ","$63,036.00 ","$65,100.00 ","$67,325.00 ","$71,517.25 ","$76,388.00 "
36000,New York,NY,Per capita personal income (dollars) 2/,"$40,279.00 ","$42,056.25 ","$42,935.00 ","$44,520.50 ","$46,268.00 ","$48,254.75 ","$50,978.75 ","$55,033.00 "
37000,North Carolina,NC,Per capita personal income (dollars) 2/,"$57,498.00 ","$54,134.00 ","$51,999.75 ","$52,426.25 ","$55,501.50 ","$57,212.00 ","$60,488.75 ","$65,529.50 "
38000,North Dakota,ND,Per capita personal income (dollars) 2/,"$42,826.00 ","$44,435.00 ","$45,202.25 ","$46,708.75 ","$48,431.50 ","$49,807.25 ","$53,185.25 ","$56,471.75 "
39000,Ohio,OH,Per capita personal income (dollars) 2/,"$46,594.50 ","$44,907.50 ","$42,532.00 ","$44,430.50 ","$46,457.00 ","$48,507.50 ","$50,090.75 ","$53,145.25 "
40000,Oklahoma,OK,Per capita personal income (dollars) 2/,"$42,107.25 ","$44,655.25 ","$46,020.75 ","$47,999.75 ","$50,534.25 ","$52,461.00 ","$56,329.25 ","$60,665.00 "
41000,Oregon,OR,Per capita personal income (dollars) 2/,"$48,060.25 ","$49,918.00 ","$51,168.75 ","$52,486.00 ","$55,189.25 ","$56,729.50 ","$60,706.50 ","$64,039.25 "
42000,Pennsylvania,PA,Per capita personal income (dollars) 2/,"$47,192.00 ","$48,672.25 ","$49,190.50 ","$50,940.25 ","$52,567.50 ","$54,719.50 ","$58,635.25 ","$61,930.25 "
44000,Rhode Island,RI,Per capita personal income (dollars) 2/,"$38,133.25 ","$40,047.50 ","$41,173.75 ","$42,810.00 ","$44,317.00 ","$46,165.75 ","$48,820.50 ","$52,063.75 "
45000,South Carolina,SC,Per capita personal income (dollars) 2/,"$47,492.00 ","$49,149.00 ","$49,177.00 ","$50,375.25 ","$52,566.75 ","$55,015.50 ","$59,600.75 ","$64,712.50 "
46000,South Dakota,SD,Per capita personal income (dollars) 2/,"$40,742.50 ","$42,524.00 ","$43,486.00 ","$44,961.25 ","$47,009.75 ","$48,765.50 ","$50,785.25 ","$54,862.50 "
47000,Tennessee,TN,Per capita personal income (dollars) 2/,"$47,353.50 ","$47,472.50 ","$46,591.50 ","$49,226.00 ","$52,003.75 ","$53,487.75 ","$55,393.50 ","$59,663.75 "
48000,Texas,TX,Per capita personal income (dollars) 2/,"$38,151.25 ","$40,427.00 ","$41,746.50 ","$43,406.50 ","$46,002.00 ","$48,664.00 ","$51,667.00 ","$55,390.00 "
49000,Utah,UT,Per capita personal income (dollars) 2/,"$47,622.50 ","$48,885.75 ","$49,593.25 ","$50,714.00 ","$52,190.00 ","$53,846.75 ","$57,367.75 ","$59,694.75 "
50000,Vermont,VT,Per capita personal income (dollars) 2/,"$50,313.75 ","$52,231.50 ","$53,257.75 ","$54,978.50 ","$56,725.25 ","$58,455.00 ","$61,656.50 ","$65,396.25 "
51000,Virginia,VA,Per capita personal income (dollars) 2/,"$50,860.25 ","$53,052.50 ","$54,912.25 ","$57,260.75 ","$60,180.50 ","$62,808.25 ","$66,945.75 ","$71,878.50 "
53000,Washington,WA,Per capita personal income (dollars) 2/,"$36,571.00 ","$37,472.25 ","$37,383.25 ","$39,162.00 ","$41,291.00 ","$42,368.25 ","$44,840.00 ","$47,803.25 "
54000,West Virginia,WV,Per capita personal income (dollars) 2/,"$44,706.75 ","$46,539.75 ","$47,193.50 ","$48,736.25 ","$50,813.00 ","$52,413.75 ","$55,019.75 ","$58,554.25 "
55000,Wisconsin,WI,Per capita personal income (dollars) 2/,"$57,706.00 ","$57,893.50 ","$54,868.50 ","$57,066.75 ","$60,320.50 ","$61,543.00 ","$62,394.00 ","$65,617.00 "
56000,Wyoming,WY,Per capita personal income (dollars) 2/,"$57,087.50 ","$59,622.75 ","$61,142.00 ","$63,104.00 ","$65,742.00 ","$67,986.00 ","$71,924.75 ","$76,636.50 "
